Camera_Types_and_Format_Specs
Camera/Device Type,Format/Wrapper,Codec (Video),Codec (Audio),Chroma Subsampling,Compression,Metadata,Preservation Risk
iPhone,MOV,H.264/AVC,AAC,4:2:0,Lossy (Long-GOP),QuickTime + Exif,Moderate
DSLR,MOV,H.264/AVC,AAC,4:2:0,Lossy (Long-GOP),QuickTime + Exif,Moderate
Android phones,MP4,H.264/AVC,AAC,4:2:0,Lossy (Long-GOP),QuickTime + Exif,Moderate
GoPro,MP4,H.264/AVC,AAC,4:2:0,Lossy (Long-GOP),QuickTime + Exif,Moderate
Older camcorders,AVI,"Motion JPEG, DV",PCM,4:2:2 or 4:1:1,Lossy or intra-frame,Minimal,High
early DSLRs,AVI,"Motion JPEG, DV",PCM,4:2:2 or 4:1:1,Lossy or intra-frame,Minimal,High
Sony,MTS (AVCHD),H.264/AVC,AC-3,4:2:0,Lossy (Long-GOP),Private Stream + Exif,High
Panasonic camcorders,MTS (AVCHD),H.264/AVC,AC-3,4:2:0,Lossy (Long-GOP),Private Stream + Exif,High
Early DSLRs,MOV,MJPEG,PCM or IMA,4:2:2,Lossy intra-frame,QuickTime + Exif,Moderate
Pro cameras,MOV,ProRes,PCM,4:2:2 or 4:4:4,Intra-frame (mild lossy),QuickTime,Low
Broadcast/pro cameras,MXF,XDCAM HD,MPEG-1 Layer 2,4:2:2,Lossy (Long-GOP),Descriptive + technical,Moderate
Canon DSLRs (sidecar),THM (Thumbnail),,,,Still image,Timestamp + preview,
Still photo (all devices),JPEG,,,4:2:0,Lossy,Exif,Low
Early Android,3GP,"H.263, MPEG-4 SP",AAC or AMR,4:2:0,Lossy,Minimal,High
Nokia,3GP,"H.263, MPEG-4 SP",AAC or AMR,4:2:0,Lossy,Minimal,High
JVC,MOD,MPEG-2,MP2,4:2:0,Lossy (Long-GOP),Minimal,High
Panasonic camcorders,MOD,MPEG-2,MP2,4:2:0,Lossy (Long-GOP),Minimal,High
HD camcorders (JVC),TOD,MPEG-2,MP2,4:2:0,Lossy (Long-GOP),Minimal,High
Some Windows phones and cameras,WMV,Windows Media Video,WMA,4:2:0,Lossy,ASF structure,High
Windows-based systems,ASF,VC-1,WMA,4:2:0,Lossy,ASF (structured),High
