Camera_Video_Format_Specs
Format (Container – Codec),Typical Use (Device),"Video Specs (resolution, fps, chroma)",Audio Specs,Compression,Notable Metadata
MOV – H.264/AVC (QuickTime),"DSLRs (Canon/Nikon), some smartphones",up to 1080p @ 24/30 fps; 8-bit 4:2:0 chroma,PCM 16–bit 48 KHz or AAC (model-dependent),Lossy inter-frame (Long-GOP ~30–50 Mbps),Timecode; orientation (if smartphone)
MP4 – H.264/AVC (MPEG-4 Part 14),"Smartphones (Android), GoPro cameras",up to 1080p @ 30 fps (GoPro; also 720p60); 8-bit 4:2:0,AAC 48 KHz stereo (lossy),Lossy inter-frame (bitrate ~10–20 Mbps phones; ~15–45 Mbps GoPro),GPS geotags (phones); orientation flags
3GP – H.263 / H.264 (MPEG-4 variant),Older mobile phones (pre-2010),low res (e.g. 320×240 @ ~15–30 fps); 8-bit 4:2:0,AMR or AAC audio (mono),Lossy inter-frame (H.263 or baseline H.264),Minimal metadata (date/time)
AVI – Motion JPEG (MJPEG intraframe),"Early DSLRs (e.g. Nikon D90), digicams",up to 720p @ 24 fps; 8-bit 4:2:2 (intra-frame JPEG frames),PCM 11–16-bit mono/stereo (device-dependent),Lossy intra-frame (large files; ~20–30 Mbps for HD),None beyond file system timestamps
AVCHD MTS – H.264/AVC (M2TS wrapper),"Consumer HD camcorders, some mirrorless","1080i/p @ 50–60i or 24–30p; 8-bit 4:2:0, up to ~24 Mbps",Dolby AC-3 2.0 or 5.1 (256–384 kbps) or LPCM 2.0,Lossy inter-frame (Long-GOP H.264),"Structured metadata (clip timing, playlist in AVCHD folder)"
DV AVI/MOV – DV codec (DV/DVCAM),MiniDV tape cameras (consumer/prosumer),720x480i59.94 or 720x576i50; 8-bit 4:1:1 (NTSC) or 4:2:0 (PAL),PCM 16-bit 48 KHz 2ch (or 12-bit 32 KHz 4ch),Lossy intra-frame DCT (25 Mbps video + 1.5 Mbps audio),"Timecode, recording date (in DV stream)"
HDV M2T – MPEG-2 (Transport Stream),HDV tape cameras (prosumer),"1440×1080i or 1280×720p; 8-bit 4:2:0, MPEG-2 @ 25 Mbps",MPEG-1 Layer II audio @ 384 kbps stereo,Lossy inter-frame (Long-GOP: 15-frame GOP for 1080i),Timecode (tape); no embedded metadata in .m2t file
MXF – MPEG-2 (XDCAM HD),Pro camcorders (Sony XDCAM Optical/EX),1440×1080i or 1280×720p; 8-bit 4:2:0 (SP/HQ modes @ 25–35 Mbps),PCM 16-bit 48 KHz 2ch or 4ch,Lossy inter-frame (MPEG-2 long-GOP),"Extensive metadata in MXF header (timecode, UMID clip ID, etc.)"
MXF – MPEG-2 50 Mbps (XDCAM HD422),Pro broadcast (Sony XDCAM HD422),1920×1080 or 1280×720; 8-bit 4:2:2 @ 50 Mbps,PCM 24-bit 48 KHz 4ch,"Lossy inter-frame (Long-GOP, higher quality)","MXF metadata (timecode, reel, etc.)"
MXF – DVCPRO HD (intra-frame DCT),"Pro (Panasonic P2 cards, ENG cameras)",960×720p or 1280×1080i; 8-bit 4:2:2 @ 100 Mbps,PCM 16–bit 48 KHz 4–8ch,Lossy intra-frame (DV-based DCT),"P2 XML metadata (clip name, camera, etc.) in structure"
MXF – AVC-Intra (H.264 intra-frame),Pro (Panasonic P2 AVC-Intra cameras),1920×1080p/i; 10-bit 4:2:2 @ 50 or 100 Mbps,PCM 24-bit 48 KHz 8ch,Lossy intra-frame (H.264 All-I),P2 metadata (like above; richer descriptive data)
MOV – ProRes 422/HQ/4444,"High-end (Arri Alexa, external recorders)",up to 1920×1080 (HD) in 2012; 10-bit 4:2:2 or 4:4:4:4; 220–440+ Mbps,PCM 16/24-bit 48 KHz 2–8ch,Visually lossless intra-frame (wavelet),Some camera metadata (e.g. Arri ARRIMeta XML in file)
